Invoice ID,Date,Time,Store ID,Region,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax,Total,Payment,COGS,Gross Margin %,Gross Income
INV-1000,2022-07-18,15:00:00,S010,West,Mumbai,Normal,Female,Sports,339.53,3,50.93,1069.52,E-wallet,1018.59,5.0,50.93
INV-1001,2022-12-19,19:48:00,S007,West,Ahmedabad,Member,Male,Books,229.25,5,57.31,1203.56,Cash,1146.25,5.0,57.31
INV-1002,2022-08-11,15:34:00,S010,South,Hyderabad,Normal,Female,Clothing,237.37,3,35.61,747.72,Cash,712.11,5.0,35.61
INV-1003,2022-05-03,10:32:00,S001,East,Patna,Normal,Male,Electronics,349.14,3,52.37,1099.79,Credit Card,1047.42,5.0,52.37
INV-1004,2022-03-09,18:36:00,S008,South,Hyderabad,Member,Female,Books,53.8,9,24.21,508.41,E-wallet,484.2,5.0,24.21
INV-1005,2022-03-13,14:06:00,S002,East,Kolkata,Normal,Female,Sports,309.19,6,92.76,1947.9,Credit Card,1855.14,5.0,92.76
INV-1006,2022-11-02,18:12:00,S002,South,Chennai,Normal,Female,Sports,314.18,1,15.71,329.89,Cash,314.18,5.0,15.71
INV-1007,2022-03-26,10:51:00,S004,South,Bangalore,Normal,Female,Clothing,290.22,1,14.51,304.73,E-wallet,290.22,5.0,14.51
INV-1008,2022-02-04,17:21:00,S006,North,Delhi,Normal,Male,Home Decor,260.74,2,26.07,547.55,Credit Card,521.48,5.0,26.07
INV-1009,2022-10-13,16:02:00,S006,North,Delhi,Member,Male,Clothing,77.46,3,11.62,244.0,E-wallet,232.38,5.0,11.62
INV-1010,2022-10-17,19:00:00,S009,North,Lucknow,Normal,Male,Electronics,397.65,4,79.53,1670.13,Cash,1590.6,5.0,79.53
INV-1011,2022-06-17,10:35:00,S009,West,Ahmedabad,Member,Male,Groceries,78.58,8,31.43,660.07,Cash,628.64,5.0,31.43
INV-1012,2022-11-20,17:42:00,S010,South,Hyderabad,Normal,Male,Groceries,264.0,3,39.6,831.6,E-wallet,792.0,5.0,39.6
INV-1013,2022-05-09,18:37:00,S001,West,Pune,Normal,Male,Clothing,83.58,3,12.54,263.28,E-wallet,250.74,5.0,12.54
INV-1014,2022-09-09,10:32:00,S003,North,Lucknow,Member,Female,Electronics,255.57,9,115.01,2415.14,E-wallet,2300.13,5.0,115.01
INV-1015,2022-12-13,11:47:00,S005,North,Lucknow,Member,Male,Clothing,440.44,6,132.13,2774.77,Credit Card,2642.64,5.0,132.13
INV-1016,2022-12-17,16:13:00,S006,West,Mumbai,Normal,Male,Clothing,144.06,2,14.41,302.53,Credit Card,288.12,5.0,14.41
INV-1017,2022-02-10,11:07:00,S002,West,Ahmedabad,Normal,Female,Books,353.3,7,123.66,2596.76,E-wallet,2473.1,5.0,123.66
INV-1018,2022-08-26,14:07:00,S004,North,Chandigarh,Normal,Male,Home Decor,31.85,7,11.15,234.1,Cash,222.95,5.0,11.15
INV-1019,2022-02-17,16:18:00,S007,South,Hyderabad,Normal,Female,Sports,306.15,5,76.54,1607.29,Credit Card,1530.75,5.0,76.54
INV-1020,2022-03-09,09:19:00,S002,East,Kolkata,Member,Male,Sports,154.59,2,15.46,324.64,E-wallet,309.18,5.0,15.46
